StateFIPS,CountyFIPS,State,County,Start Year,End Year,binge_drinking,infant_mortality,median_income,obesity,All Non-White Races including Hispanic,American Indian/Alaskan Native including Hispanic,Asian/Pacific Islander including Hispanic,Black including Hispanic,Hispanic All Races,Other including Hispanic,White including Hispanic
1,1001,Alabama,Autauga,2016,2020,14.0,7.87,58233.0,35.6,23.2,0.5,1.3,19.6,2.8,1.8,76.8
1,1003,Alabama,Baldwin,2016,2020,16.5,7.31,59871.0,30.0,12.7,0.8,1.1,9.0,4.5,1.8,87.3
1,1005,Alabama,Barbour,2016,2020,12.4,7.36,35972.0,40.4,50.8,0.6,0.6,48.3,4.4,1.2,49.2
1,1007,Alabama,Bibb,2016,2020,14.6,7.86,47918.0,41.5,23.3,0.4,0.3,21.4,2.6,1.2,76.7
1,1009,Alabama,Blount,2016,2020,14.3,7.62,52902.0,38.9,4.0,0.6,0.4,1.6,9.2,1.4,96.0
1,1011,Alabama,Bullock,2016,2020,12.5,8.66,31906.0,44.1,73.7,0.8,1.0,70.6,7.9,1.2,26.3
1,1013,Alabama,Butler,2016,2020,11.4,8.48,39944.0,39.6,47.7,0.4,1.5,44.8,1.4,1.0,52.3
1,1015,Alabama,Calhoun,2016,2020,14.1,7.85,47747.0,35.9,24.8,0.5,1.0,21.3,3.8,2.0,75.2
1,1017,Alabama,Chambers,2016,2020,12.1,8.53,42015.0,39.6,42.9,0.3,1.2,40.0,2.4,1.3,57.1
1,1019,Alabama,Cherokee,2016,2020,12.9,7.97,45982.0,34.7,6.9,0.6,0.4,4.2,1.6,1.6,93.1
1,1021,Alabama,Chilton,2016,2020,14.0,6.09,49692.0,39.5,12.9,0.5,0.6,10.4,7.7,1.4,87.1
1,1023,Alabama,Choctaw,2016,2020,11.2,9.31,39808.0,39.9,42.8,0.2,0.2,41.8,1.0,0.6,57.2
1,1025,Alabama,Clarke,2016,2020,11.7,7.1,43822.0,44.2,46.5,0.5,0.5,44.6,1.3,1.0,53.5
1,1027,Alabama,Clay,2016,2020,12.8,9.59,40562.0,37.2,16.7,0.6,0.2,14.0,3.1,1.9,83.3
1,1029,Alabama,Cleburne,2016,2020,13.8,7.59,51276.0,36.0,5.0,0.5,0.3,3.0,2.5,1.2,95.0
1,1031,Alabama,Coffee,2016,2020,14.1,6.03,57299.0,34.8,24.2,1.4,2.0,17.7,7.5,3.0,75.8
1,1033,Alabama,Colbert,2016,2020,13.8,5.29,46683.0,36.0,19.4,0.6,0.7,16.1,2.8,2.0,80.6
1,1035,Alabama,Conecuh,2016,2020,11.0,8.45,41539.0,40.9,48.6,0.5,0.3,46.5,2.1,1.4,51.4
1,1037,Alabama,Coosa,2016,2020,12.0,6.99,42024.0,39.7,33.2,0.6,0.3,31.0,2.4,1.4,66.8
1,1039,Alabama,Covington,2016,2020,12.6,6.12,44836.0,36.7,15.4,0.7,0.5,12.6,1.8,1.6,84.6
1,1041,Alabama,Crenshaw,2016,2020,12.9,8.32,43309.0,35.9,27.4,0.6,1.2,23.7,2.2,1.9,72.6
1,1043,Alabama,Cullman,2016,2020,14.8,6.27,50897.0,33.4,4.0,0.6,0.7,1.3,4.4,1.3,96.0
1,1045,Alabama,Dale,2016,2020,14.0,7.81,45120.0,37.9,26.0,0.9,1.6,20.7,6.6,2.8,74.0
