"StateFIPS","State","Start Year","End Year","Value","Data Comment",
"01","Alabama","2013","2017","496","",
"01","Alabama","2014","2018","476","",
"01","Alabama","2015","2019","464","",
"02","Alaska","2013","2017","68","",
"02","Alaska","2014","2018","67","",
"02","Alaska","2015","2019","61","",
"04","Arizona","2013","2017","473","",
"04","Arizona","2014","2018","475","",
"04","Arizona","2015","2019","455","",
"05","Arkansas","2013","2017","299","",
"05","Arkansas","2014","2018","296","",
"05","Arkansas","2015","2019","289","",
"06","California","2013","2017","2,149","",
"06","California","2014","2018","2,062","",
"06","California","2015","2019","2,006","",
"08","Colorado","2013","2017","313","",
"08","Colorado","2014","2018","306","",
"08","Colorado","2015","2019","304","",
"09","Connecticut","2013","2017","176","",
"09","Connecticut","2014","2018","171","",
"09","Connecticut","2015","2019","166","",
"10","Delaware","2013","2017","80","",
"10","Delaware","2014","2018","79","",
"10","Delaware","2015","2019","77","",
"11","District of Columbia","2013","2017","73","",
"11","District of Columbia","2014","2018","74","",
"11","District of Columbia","2015","2019","69","",
"12","Florida","2013","2017","1,360","",
"12","Florida","2014","2018","1,366","",
"12","Florida","2015","2019","1,365","",
"13","Georgia","2013","2017","962","",
"13","Georgia","2014","2018","960","",
"13","Georgia","2015","2019","940","",
"15","Hawaii","2013","2017","102","",
"15","Hawaii","2014","2018","101","",
"15","Hawaii","2015","2019","102","",
"16","Idaho","2013","2017","117","",
"16","Idaho","2014","2018","114","",
"16","Idaho","2015","2019","108","",
"17","Illinois","2013","2017","966","",
"17","Illinois","2014","2018","968","",
"17","Illinois","2015","2019","919","",
"18","Indiana","2013","2017","603","",
"18","Indiana","2014","2018","593","",
"18","Indiana","2015","2019","580","",
"19","Iowa","2013","2017","192","",
"19","Iowa","2014","2018","197","",
"19","Iowa","2015","2019","197","",
"20","Kansas","2013","2017","235","",
"20","Kansas","2014","2018","231","",
"20","Kansas","2015","2019","221","",
"21","Kentucky","2013","2017","374","",
"21","Kentucky","2014","2018","368","",
"21","Kentucky","2015","2019","339","",
"22","Louisiana","2013","2017","491","",
"22","Louisiana","2014","2018","473","",
"22","Louisiana","2015","2019","470","",
"23","Maine","2013","2017","81","",
"23","Maine","2014","2018","76","",
"23","Maine","2015","2019","72","",
"24","Maryland","2013","2017","476","",
"24","Maryland","2014","2018","466","",
"24","Maryland","2015","2019","452","",
"25","Massachusetts","2013","2017","291","",
"25","Massachusetts","2014","2018","290","",
"25","Massachusetts","2015","2019","279","",
